Model_Name,Data,Oversampler,AUC,Youden_Index,Best_Threshold,TN,FP,FN,TP,False_Negative_IDs,best_params
Baseline_Linear,expert_k,None,0.5701,0.2652,0.558,19,25,2,10,"[350, 448]","{'lr': 0.0008179499475211679, 'optimizer': 'Adam', 'epochs': 20}"
Baseline_Linear,expert_k,RandomOverSampler,0.6231,0.2576,0.616,26,18,4,8,"[381, 412, 448, 698]","{'lr': 0.019980467655835846, 'optimizer': 'Adam', 'epochs': 10}"
Baseline_Linear,expert_k,SMOTE,0.7197,0.3788,0.687,35,9,5,7,"[347, 365, 381, 412, 698]","{'lr': 0.03142880890840111, 'optimizer': 'Adam', 'epochs': 10}"
Baseline_Linear,expert_k,BorderlineSMOTE,0.7083,0.3712,0.617,31,13,4,8,"[347, 381, 412, 698]","{'lr': 0.03142880890840111, 'optimizer': 'Adam', 'epochs': 10}"
Baseline_Linear,bow,None,0.5360,0.1894,0.616,34,10,7,5,"[347, 381, 388, 402, 412, 448, 617]","{'lr': 0.09712965958291919, 'optimizer': 'Adam', 'epochs': 40}"
Baseline_Linear,bow,RandomOverSampler,0.5511,0.2197,0.046,17,27,2,10,"[412, 448]","{'lr': 0.07972875727463413, 'optimizer': 'Adam', 'epochs': 30}"
Baseline_Linear,bow,SMOTE,0.6345,0.2803,0.745,38,6,7,5,"[347, 350, 365, 381, 412, 448, 698]","{'lr': 0.0013292918943162175, 'optimizer': 'Adam', 'epochs': 30}"
Baseline_Linear,bow,BorderlineSMOTE,0.5473,0.1970,0.041,16,28,2,10,"[412, 448]","{'lr': 0.06845570267272903, 'optimizer': 'Adam', 'epochs': 30}"
Baseline_Linear,deep_rep,None,0.6307,0.3788,0.746,24,20,2,10,"[350, 448]","{'lr': 0.00881897811666825, 'optimizer': 'SGD', 'epochs': 10}"
Baseline_Linear,deep_rep,RandomOverSampler,0.5852,0.2576,1.000,26,18,4,8,"[350, 402, 412, 448]","{'lr': 0.07205607405761723, 'optimizer': 'SGD', 'epochs': 10}"
Baseline_Linear,deep_rep,SMOTE,0.6657,0.3939,0.922,32,12,4,8,"[402, 412, 448, 698]","{'lr': 0.016414083340694195, 'optimizer': 'Adam', 'epochs': 30}"
Baseline_Linear,deep_rep,BorderlineSMOTE,0.5909,0.2955,1.000,24,20,3,9,"[350, 402, 448]","{'lr': 0.06264278041381323, 'optimizer': 'SGD', 'epochs': 10}"
Baseline_Linear,hubert,None,0.7422,0.5174,0.682,33,10,3,9,"[347, 388, 448]","{'lr': 0.09840764582498135, 'optimizer': 'Adam', 'epochs': 30}"
Baseline_Linear,hubert,RandomOverSampler,0.7209,0.5174,0.739,33,10,3,9,"[347, 388, 448]","{'lr': 0.006358358856676255, 'optimizer': 'Adam', 'epochs': 40}"
Baseline_Linear,hubert,SMOTE,0.6647,0.3275,0.941,32,11,5,7,"[347, 381, 412, 448, 698]","{'lr': 0.02115752692480476, 'optimizer': 'Adam', 'epochs': 10}"
Baseline_Linear,hubert,BorderlineSMOTE,0.7229,0.5174,0.691,33,10,3,9,"[347, 388, 448]","{'lr': 0.014451035765102666, 'optimizer': 'Adam', 'epochs': 30}"
Baseline_Linear,all,None,0.5653,0.2273,1.000,21,23,3,9,"[350, 402, 448]","{'lr': 0.09840724100662625, 'optimizer': 'SGD', 'epochs': 10}"
Baseline_Linear,all,RandomOverSampler,0.5691,0.3030,0.998,28,16,4,8,"[350, 402, 412, 448]","{'lr': 0.016414083340694195, 'optimizer': 'SGD', 'epochs': 10}"
Baseline_Linear,all,SMOTE,0.5398,0.3636,1.000,27,17,3,9,"[350, 402, 448]","{'lr': 0.07205607405761723, 'optimizer': 'SGD', 'epochs': 10}"
Baseline_Linear,all,BorderlineSMOTE,0.5720,0.3636,1.000,27,17,3,9,"[350, 402, 448]","{'lr': 0.06264278041381323, 'optimizer': 'SGD', 'epochs': 10}"
Baseline_Linear,all_incl_hubert,None,0.5998,0.2810,0.893,30,13,5,7,"[381, 388, 402, 412, 448]","{'lr': 0.006358358856676255, 'optimizer': 'Adam', 'epochs': 40}"
Baseline_Linear,all_incl_hubert,RandomOverSampler,0.5300,0.1085,0.000,19,24,4,8,"[388, 402, 412, 448]","{'lr': 0.050036621206263815, 'optimizer': 'Adam', 'epochs': 30}"
Baseline_Linear,all_incl_hubert,SMOTE,0.4205,0.0930,0.000,4,39,0,12,[],"{'lr': 0.09840724100662625, 'optimizer': 'SGD', 'epochs': 10}"
Baseline_Linear,all_incl_hubert,BorderlineSMOTE,0.4264,0.1143,0.240,30,13,7,5,"[347, 381, 388, 402, 441, 617, 698]","{'lr': 0.04559407239021476, 'optimizer': 'SGD', 'epochs': 10}"
