Model_Name,Data,Oversampler,AUC,Youden_Index,Best_Threshold,TN,FP,FN,TP,False_Negative_IDs,best_params
rf,expert_k,None,0.6042,0.3258,0.243,29,15,4,8,"[412, 448, 617, 698]","{'n_estimators': 400, 'max_depth': 17, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}"
rf,expert_k,RandomOverSampler,0.6307,0.3561,0.001,23,21,2,10,"[448, 698]","{'n_estimators': 500, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 'log2', 'random_state': 42, 'n_jobs': -1}"
rf,expert_k,SMOTE,0.6979,0.3636,0.296,38,6,6,6,"[365, 402, 412, 448, 617, 698]","{'n_estimators': 100, 'max_depth': 11, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'log2', 'random_state': 42, 'n_jobs': -1}"
rf,expert_k,BorderlineSMOTE,0.6932,0.4242,0.137,26,18,2,10,"[412, 448]","{'n_estimators': 100, 'max_depth': 11, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'log2', 'random_state': 42, 'n_jobs': -1}"
lgbm,expert_k,None,0.6023,0.2424,0.320,40,4,8,4,"[321, 347, 402, 412, 441, 448, 617, 698]","{'max_depth': 2, 'num_leaves': 32, 'learning_rate': 0.2514083658321223, 'n_estimators': 103, 'reg_lambda': 0.18182496720710062, 'random_state': 42, 'n_jobs': -1}"
lgbm,expert_k,RandomOverSampler,0.6174,0.2652,0.081,41,3,8,4,"[321, 347, 381, 412, 441, 448, 617, 698]","{'max_depth': 6, 'num_leaves': 23, 'learning_rate': 0.12888388656532354, 'n_estimators': 165, 'reg_lambda': 0.8320220814519674, 'random_state': 42, 'n_jobs': -1}"
lgbm,expert_k,SMOTE,0.6553,0.2955,0.044,24,20,3,9,"[412, 448, 698]","{'max_depth': 9, 'num_leaves': 9, 'learning_rate': 0.15912798713994736, 'n_estimators': 198, 'reg_lambda': 0.046450412719997725, 'random_state': 42, 'n_jobs': -1}"
lgbm,expert_k,BorderlineSMOTE,0.7093,0.4318,0.058,19,25,0,12,[],"{'max_depth': 9, 'num_leaves': 9, 'learning_rate': 0.0572504715294523, 'n_estimators': 216, 'reg_lambda': 0.6882295119501993, 'random_state': 42, 'n_jobs': -1}"
cat,expert_k,None,0.6515,0.3712,0.212,20,24,1,11,[698],"{'depth': 6, 'learning_rate': 0.02544166090938368, 'n_estimators': 300, 'l2_leaf_reg': 3.521358805467868, 'border_count': 8, 'random_state': 42}"
cat,expert_k,RandomOverSampler,0.5587,0.1288,0.002,24,20,5,7,"[347, 441, 448, 617, 698]","{'depth': 4, 'learning_rate': 0.1269715807623873, 'n_estimators': 400, 'l2_leaf_reg': 1.3422219114237155, 'border_count': 12, 'random_state': 42}"
cat,expert_k,SMOTE,0.7415,0.4773,0.080,32,12,3,9,"[402, 412, 698]","{'depth': 5, 'learning_rate': 0.17254716573280354, 'n_estimators': 400, 'l2_leaf_reg': 3.968793330444372, 'border_count': 8, 'random_state': 42}"
cat,expert_k,BorderlineSMOTE,0.6269,0.2348,0.111,36,8,7,5,"[347, 402, 412, 441, 448, 617, 698]","{'depth': 5, 'learning_rate': 0.07898927623865827, 'n_estimators': 400, 'l2_leaf_reg': 6.126630548852486, 'border_count': 7, 'random_state': 42}"
rf,hubert,None,0.5659,0.1957,0.192,12,31,1,11,[448],"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}"
rf,hubert,RandomOverSampler,0.6289,0.2907,0.034,34,9,6,6,"[347, 350, 412, 448, 617, 698]","{'n_estimators': 700, 'max_depth': 14, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'log2', 'random_state': 42, 'n_jobs': -1}"
rf,hubert,SMOTE,0.6163,0.2849,0.033,23,20,3,9,"[347, 448, 698]","{'n_estimators': 800, 'max_depth': 11, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}"
rf,hubert,BorderlineSMOTE,0.5717,0.1609,0.197,32,11,7,5,"[347, 350, 388, 412, 441, 448, 698]","{'n_estimators': 700, 'max_depth': 13, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}"
lgbm,hubert,None,0.5019,0.1473,0.367,35,8,8,4,"[347, 350, 381, 412, 441, 448, 617, 698]","{'max_depth': 4, 'num_leaves': 20, 'learning_rate': 0.2910882570941282, 'n_estimators': 221, 'reg_lambda': 0.351521658133212, 'random_state': 42, 'n_jobs': -1}"
lgbm,hubert,RandomOverSampler,0.5891,0.2209,0.026,31,12,6,6,"[347, 350, 412, 441, 448, 698]","{'max_depth': 3, 'num_leaves': 5, 'learning_rate': 0.2611910822747312, 'n_estimators': 200, 'reg_lambda': 0.7080725777960455, 'random_state': 42, 'n_jobs': -1}"
lgbm,hubert,SMOTE,0.5669,0.2171,0.373,38,5,8,4,"[347, 350, 381, 388, 412, 441, 448, 698]","{'max_depth': 5, 'num_leaves': 31, 'learning_rate': 0.22227824312530747, 'n_estimators': 200, 'reg_lambda': 0.15601864044243652, 'random_state': 42, 'n_jobs': -1}"
lgbm,hubert,BorderlineSMOTE,0.5669,0.2171,0.373,38,5,8,4,"[347, 350, 381, 388, 412, 441, 448, 698]","{'max_depth': 5, 'num_leaves': 31, 'learning_rate': 0.22227824312530747, 'n_estimators': 200, 'reg_lambda': 0.15601864044243652, 'random_state': 42, 'n_jobs': -1}"
cat,hubert,None,0.6231,0.3140,0.289,35,8,6,6,"[347, 350, 412, 441, 448, 698]","{'depth': 4, 'learning_rate': 0.024878734419814436, 'n_estimators': 300, 'l2_leaf_reg': 2.7036160666620015, 'border_count': 11, 'random_state': 42}"
cat,hubert,RandomOverSampler,0.5048,0.1434,0.063,42,1,10,2,"[321, 347, 350, 381, 388, 412, 441, 448, 617, 698]","{'depth': 4, 'learning_rate': 0.01009391633314417, 'n_estimators': 500, 'l2_leaf_reg': 1.660477864329169, 'border_count': 21, 'random_state': 42}"
cat,hubert,SMOTE,0.4990,0.1802,0.240,40,3,9,3,"[347, 350, 381, 388, 412, 441, 448, 617, 698]","{'depth': 8, 'learning_rate': 0.16348976180438465, 'n_estimators': 500, 'l2_leaf_reg': 1.0705462068420808, 'border_count': 20, 'random_state': 42}"
cat,hubert,BorderlineSMOTE,0.5979,0.2810,0.133,30,13,5,7,"[347, 381, 412, 448, 698]","{'depth': 3, 'learning_rate': 0.011900590783184251, 'n_estimators': 500, 'l2_leaf_reg': 3.9913058785616786, 'border_count': 19, 'random_state': 42}"
rf,bow,None,0.6572,0.3182,0.281,25,19,3,9,"[350, 448, 698]","{'n_estimators': 500, 'max_depth': 19, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'random_state': 42, 'n_jobs': -1}"
rf,bow,RandomOverSampler,0.5833,0.2500,0.020,22,22,3,9,"[347, 448, 698]","{'n_estimators': 600, 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2', 'random_state': 42, 'n_jobs': -1}"
rf,bow,SMOTE,0.5530,0.1515,0.289,36,8,8,4,"[347, 350, 365, 381, 412, 448, 617, 698]","{'n_estimators': 600, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}"
rf,bow,BorderlineSMOTE,0.6383,0.3409,0.067,26,18,3,9,"[347, 448, 698]","{'n_estimators': 500, 'max_depth': 7, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}"
lgbm,bow,None,0.5833,0.2348,0.208,14,30,1,11,[448],"{'max_depth': 10, 'num_leaves': 22, 'learning_rate': 0.20557974806262153, 'n_estimators': 270, 'reg_lambda': 0.3208501786198171, 'random_state': 42, 'n_jobs': -1}"
lgbm,bow,RandomOverSampler,0.5814,0.2045,0.014,20,24,3,9,"[347, 448, 698]","{'max_depth': 10, 'num_leaves': 24, 'learning_rate': 0.08253713761448575, 'n_estimators': 54, 'reg_lambda': 0.6400885024675561, 'random_state': 42, 'n_jobs': -1}"
lgbm,bow,SMOTE,0.6354,0.3030,0.178,39,5,7,5,"[347, 365, 381, 412, 441, 448, 617]","{'max_depth': 3, 'num_leaves': 5, 'learning_rate': 0.2611910822747312, 'n_estimators': 200, 'reg_lambda': 0.7080725777960455, 'random_state': 42, 'n_jobs': -1}"
lgbm,bow,BorderlineSMOTE,0.6165,0.3182,0.089,25,19,3,9,"[381, 448, 698]","{'max_depth': 2, 'num_leaves': 32, 'learning_rate': 0.2941449319059625, 'n_estimators': 60, 'reg_lambda': 0.7384055447250206, 'random_state': 42, 'n_jobs': -1}"
cat,bow,None,0.6193,0.2955,0.159,13,31,0,12,[],"{'depth': 6, 'learning_rate': 0.04850387079190934, 'n_estimators': 200, 'l2_leaf_reg': 5.953416272966644, 'border_count': 17, 'random_state': 42}"
cat,bow,RandomOverSampler,0.5795,0.1818,0.029,30,14,6,6,"[347, 365, 412, 441, 448, 698]","{'depth': 5, 'learning_rate': 0.10688114437232002, 'n_estimators': 500, 'l2_leaf_reg': 1.9611028739488052, 'border_count': 9, 'random_state': 42}"
cat,bow,SMOTE,0.6203,0.3561,0.270,34,10,5,7,"[347, 381, 412, 448, 698]","{'depth': 3, 'learning_rate': 0.04407984038169244, 'n_estimators': 100, 'l2_leaf_reg': 8.115595675970502, 'border_count': 10, 'random_state': 42}"
cat,bow,BorderlineSMOTE,0.6534,0.3106,0.077,32,12,5,7,"[347, 441, 448, 617, 698]","{'depth': 6, 'learning_rate': 0.02544166090938368, 'n_estimators': 300, 'l2_leaf_reg': 3.521358805467868, 'border_count': 8, 'random_state': 42}"
rf,deep_rep,None,0.4688,0.0606,0.207,21,23,5,7,"[321, 350, 381, 412, 448]","{'n_estimators': 600, 'max_depth': 13, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}"
rf,deep_rep,RandomOverSampler,0.4754,0.0833,0.114,44,0,11,1,"[321, 347, 350, 365, 381, 388, 402, 412, 441, 448, 617]","{'n_estimators': 700, 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'random_state': 42, 'n_jobs': -1}"
rf,deep_rep,SMOTE,0.5455,0.2576,0.167,26,18,4,8,"[321, 402, 448, 617]","{'n_estimators': 400, 'max_depth': 17, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}"
rf,deep_rep,BorderlineSMOTE,0.5568,0.2045,0.100,20,24,3,9,"[402, 412, 448]","{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'random_state': 42, 'n_jobs': -1}"
lgbm,deep_rep,None,0.5521,0.3333,0.211,22,22,2,10,"[412, 448]","{'max_depth': 10, 'num_leaves': 24, 'learning_rate': 0.08453625411216906, 'n_estimators': 54, 'reg_lambda': 0.6400885024675561, 'random_state': 42, 'n_jobs': -1}"
lgbm,deep_rep,RandomOverSampler,0.6420,0.2273,0.025,32,12,6,6,"[347, 402, 412, 441, 448, 617]","{'max_depth': 5, 'num_leaves': 27, 'learning_rate': 0.1340246191716314, 'n_estimators': 95, 'reg_lambda': 0.3122349359221165, 'random_state': 42, 'n_jobs': -1}"
lgbm,deep_rep,SMOTE,0.6117,0.2121,0.073,24,20,4,8,"[402, 412, 448, 617]","{'max_depth': 5, 'num_leaves': 20, 'learning_rate': 0.10941179359723177, 'n_estimators': 262, 'reg_lambda': 0.9908462906683143, 'random_state': 42, 'n_jobs': -1}"
lgbm,deep_rep,BorderlineSMOTE,0.6562,0.3258,0.153,29,15,4,8,"[402, 412, 448, 617]","{'max_depth': 3, 'num_leaves': 18, 'learning_rate': 0.019972671123413333, 'n_estimators': 278, 'reg_lambda': 0.2587799816000169, 'random_state': 42, 'n_jobs': -1}"
cat,deep_rep,None,0.6042,0.3561,0.206,23,21,2,10,"[412, 448]","{'depth': 4, 'learning_rate': 0.09438775051102334, 'n_estimators': 400, 'l2_leaf_reg': 1.4439539135501778, 'border_count': 6, 'random_state': 42}"
xgb,expert_k,None,0.5000,-0.0000,0.227,0,44,0,12,[],"{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.011662890273931383, 'subsample': 0.6626651653816322, 'colsample_bytree': 0.6943386448447411, 'gamma': 1.3567451588694794, 'min_child_weight': 9, 'reg_lambda': 0.5170191786366992, 'random_state': 42, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'n_jobs': -1}"
xgb,expert_k,RandomOverSampler,0.6402,0.3561,0.362,34,10,5,7,"[412, 441, 448, 617, 698]","{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.07097783577505475, 'subsample': 0.7346731338817981, 'colsample_bytree': 0.7869671321928239, 'gamma': 2.725443918922537, 'min_child_weight': 10, 'reg_lambda': 1.6296169004387602, 'random_state': 42, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'n_jobs': -1}"
xgb,expert_k,SMOTE,0.7150,0.4470,0.347,27,17,2,10,"[617, 698]","{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.03431764079386582, 'subsample': 0.6420242529902068, 'colsample_bytree': 0.7226396294601262, 'gamma': 2.5866559027332574, 'min_child_weight': 10, 'reg_lambda': 2.622737312659438, 'random_state': 42, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'n_jobs': -1}"
xgb,expert_k,BorderlineSMOTE,0.7036,0.4091,0.079,18,26,0,12,[],"{'n_estimators': 600, 'max_depth': 10, 'learning_rate': 0.1769122980259725, 'subsample': 0.5918890580412772, 'colsample_bytree': 0.841111011775912, 'gamma': 2.507821856452199, 'min_child_weight': 5, 'reg_lambda': 0.3333947721775863, 'random_state': 42, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'n_jobs': -1}"
xgb,hubert,None,0.5814,0.2674,0.255,33,10,6,6,"[347, 381, 412, 448, 617, 698]","{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.26690431824362526, 'subsample': 0.9041986740582306, 'colsample_bytree': 0.6523068845866853, 'gamma': 0.48836057003191935, 'min_child_weight': 7, 'reg_lambda': 0.7591104805282696, 'random_state': 42, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'n_jobs': -1}"
xgb,hubert,RandomOverSampler,0.5882,0.2093,0.001,9,34,0,12,[],"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.26690431824362526, 'subsample': 0.9041986740582306, 'colsample_bytree': 0.6523068845866853, 'gamma': 0.48836057003191935, 'min_child_weight': 7, 'reg_lambda': 0.7591104805282696, 'random_state': 42, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'n_jobs': -1}"
xgb,hubert,SMOTE,0.5552,0.2035,0.834,41,2,9,3,"[347, 350, 381, 388, 412, 441, 448, 617, 698]","{'n_estimators': 400, 'max_depth': 9, 'learning_rate': 0.019721610970574007, 'subsample': 0.7571172192068059, 'colsample_bytree': 0.7962072844310213, 'gamma': 0.23225206359998862, 'min_child_weight': 7, 'reg_lambda': 0.2193048555664369, 'random_state': 42, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'n_jobs': -1}"
xgb,hubert,BorderlineSMOTE,0.5717,0.2248,0.152,24,19,4,8,"[347, 412, 448, 698]","{'n_estimators': 700, 'max_depth': 9, 'learning_rate': 0.033748885146616135, 'subsample': 0.7601333260523093, 'colsample_bytree': 0.7849598833322474, 'gamma': 2.1717813587820567, 'min_child_weight': 7, 'reg_lambda': 1.1380257911067004, 'random_state': 42, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'n_jobs': -1}"
